# prefix	name	total	width	height	sample1	sample2
academicons	Academicons	158	448	512	academia	academia-square
akar-icons	Akar Icons	458	24	24	air	airplay-audio
ant-design	Ant Design Icons	830	1024	1024	account-book-filled	account-book-outlined
arcticons	Arcticons	14317	48	48	001-taxis	0h-h1
basil	Basil	496	24	24	add-outline	add-solid
bi	Bootstrap Icons	2084	24	24	0-circle	0-circle-fill
bitcoin-icons	Bitcoin Icons	250	24	24	address-book-filled	address-book-outline
bpmn	BPMN	112	2000	2000	ad-hoc-marker	business-rule
brandico	Brandico	45	1000	1000	amex	bandcamp
bubbles	Bubbles	409	12	12	activities-solid	add-circle-outline
bx	BoxIcons	1609	24	24	abacus	accessibility
bxl	BoxIcons Logo	155	24	24	500px	99designs
bxs	BoxIcons Solid	665	24	24	add-to-queue	adjust
bytesize	Bytesize Icons	102	32	32	activity	alert
carbon	Carbon	2582	32	32	3d-cursor	3d-cursor-alt
catppuccin	Catppuccin Icons	659	24	24	3d	adobe-ae
cbi	Custom Brand Icons	1491	24	24	02tv	10-play
charm	Charm Icons	262	24	24	anchor	apps
ci	coolicons	715	24	24	add-column	add-minus-square
cib	CoreUI Brands	830	32	32	500px	500px-5
cif	CoreUI Flags	199	300	210	ad	ae
cil	CoreUI Free	562	512	512	3d	4k
circle-flags	Circle Flags	731	512	512	aa	ab
circum	Circum Icons	288	24	24	airport-sign-1	alarm-off
clarity	Clarity	1105	36	36	accessibility-1-line	accessibility-1-solid
codex	CodeX Icons	78	24	24	add-background	add-border
codicon	Codicons	543	24	24	account	activate-breakpoints
covid	Covid Icons	142	24	24	covid-19-virus-4	covid-19-virus-pandemic-1
cryptocurrency-color	Cryptocurrency Color Icons	483	32	32	0xbtc	1inch
cryptocurrency	Cryptocurrency Icons	483	32	32	0xbtc	1inch
cuida	Cuida Icons	182	24	24	alert-outline	ambulance-outline
dashicons	Dashicons	345	20	20	admin-appearance	admin-collapse
devicon-line	Devicon Line	69	128	128	amazonwebservices-wordmark	apache
devicon-original	Devicon Original	659	128	128	aarch64	adonisjs
devicon-plain	Devicon Plain	776	128	128	aarch64	aframe
devicon	Devicon	1031	128	128	aarch64	adonisjs
dinkie-icons	Dinkie Icons	1198	12	12	abacus	accept-circle
duo-icons	Duoicons	91	24	24	add-circle	airplay
ei	Evil Icons	70	50	50	archive	arrow-down
el	Elusive Icons	304	1200	1200	address-book	address-book-alt
emblemicons	Emblemicons	0	24	24
emojione-monotone	Emoji One (Monotone)	1403	64	64	1st-place-medal	2nd-place-medal
emojione-v1	Emoji One (v1)	1262	64	64	a-button	ab-button
emojione	Emoji One (Colored)	1834	64	64	1st-place-medal	2nd-place-medal
entypo-social	Entypo+ Social	76	20	20	500px	500px-with-circle
entypo	Entypo+	321	20	20	add-to-list	add-user
eos-icons	EOS Icons	253	24	24	3d-print	abstract
ep	Element Plus	293	1024	1024	add-location	aim
et	Elegant	100	33	32	adjustments	alarmclock
eva	Eva Icons	490	24	24	activity-fill	activity-outline
f7	Framework7 Icons	1253	56	56	airplane	alarm
fa-brands	Font Awesome 5 Brands	460	448	512	500px	accessible-icon
fa-regular	Font Awesome 5 Regular	151	448	512	address-book	address-card
fa-solid	Font Awesome 5 Solid	1023	576	512	abacus	ad
fa	Font Awesome 4	649	1408	1792	500px	address-book
fa6-brands	Font Awesome 6 Brands	495	640	512	42-group	500px
fa6-regular	Font Awesome 6 Regular	164	512	512	address-book	address-card
fa6-solid	Font Awesome 6 Solid	1407	320	512	0	1
fa7-brands	Font Awesome Brands	548	640	640	11ty	42-group
fa7-regular	Font Awesome Regular	272	640	640	address-book	address-card
fa7-solid	Font Awesome Solid	1983	640	640	0	1
fad	FontAudio	155	256	256	adr	adsr
famicons	Famicons	1342	512	512	accessibility	accessibility-outline
fe	Feather Icon	255	24	24	activity	add-cart
feather	Feather Icons	286	24	24	activity	airplay
file-icons	File Icons	930	512	512	1c	1c-alt
flag	Flag Icons	542	512	512	ad-1x1	ad-4x3
flagpack	Flagpack	256	32	24	ad	ae
flat-color-icons	Flat Color Icons	329	48	48	about	accept-database
flat-ui	Flat UI Icons	100	54	100	android	android1
flowbite	Flowbite Icons	804	24	24	add-column-after-outline	add-column-before-outline
fluent-color	Fluent UI System Color Icons	890	16	16	add-circle-16	add-circle-20
fluent-emoji-flat	Fluent Emoji Flat	3174	32	32	1st-place-medal	2nd-place-medal
fluent-emoji-high-contrast	Fluent Emoji High Contrast	1594	32	32	1st-place-medal	2nd-place-medal
fluent-emoji	Fluent Emoji	3174	32	32	1st-place-medal	2nd-place-medal
fluent-mdl2	Fluent UI MDL2	1735	2048	2048	accept	accept-medium
fluent	Fluent UI System Icons	19401	20	20	access-time-20-filled	access-time-20-regular
fontelico	Fontelico	34	1000	1000	chrome	crown
fontisto	Fontisto	615	19	24	500px	acrobat-reader
formkit	FormKit Icons	144	24	24	add	amex
foundation	Foundation	283	100	100	address-book	alert
fxemoji	Firefox OS Emoji	1034	72	72	2hearts	acorn
gala	Gala Icons	51	256	256	add	airplay
game-icons	Game Icons	4123	512	512	3d-glasses	3d-hammer
garden	Garden SVG Icons	1007	12	12	123-fill-12	123-fill-16
geo	GeoGlyphs	30	100	100	turf-along	turf-bbox-polygon
gg	css.gg	704	24	24	abstract	add
gis	Font-GIS	367	100	100	360	3dtiles-file
glyphs-poly	Glyphs Poly	863	80	80	a	accessible
glyphs	Glyphs	3452	80	80	a	a-bold
gravity-ui	Gravity UI Icons	781	24	24	abbr-api	abbr-ml
gridicons	Gridicons	207	24	24	add	add-image
grommet-icons	Grommet Icons	637	24	24	accessibility	achievement
guidance	Guidance	360	24	24	24-hours	accesible-restroom
healthicons	Health Icons	2691	48	48	0	0-negative
heroicons-outline	HeroIcons v1 Outline	385	24	24	academic-cap	adjustments
heroicons-solid	HeroIcons v1 Solid	387	20	20	academic-cap	adjustments
heroicons	HeroIcons	1288	24	24	academic-cap	academic-cap-16-solid
hugeicons	Huge Icons	4679	24	24	1st-bracket	1st-bracket-circle
humbleicons	Humbleicons	287	24	24	activity	adjustments
ic	Google Material Icons	10956	24	24	baseline-10k	baseline-10mp
icomoon-free	IcoMoon Free	491	24	24	500px	accessibility
icon-park-outline	IconPark Outline	2658	48	48	a-cane	abdominal
icon-park-solid	IconPark Solid	1970	48	48	a-cane	abnormal
icon-park-twotone	IconPark TwoTone	1947	48	48	abnormal	acceleration
icon-park	IconPark	2658	48	48	a-cane	abdominal
iconamoon	IconaMoon	1781	24	24	3d	3d-bold
iconoir	Iconoir	1682	24	24	accessibility	accessibility-sign
icons8	Icons8 Windows 10 Icons	234	32	32	add-shopping-cart	add-user
il	Icalicons	84	680	850	add-user	arrow-down
ion	IonIcons	2361	512	512	accessibility	accessibility-outline
iwwa	Innowatio Font	105	40	40	add	add-15m
ix	Siemens Industrial Experience Icons	1426	512	512	about	about-filled
jam	Jam Icons	940	24	24	500px	accessibility
la	Line Awesome	1544	32	32	500px	accessible-icon
lets-icons	Lets Icons	1544	24	24	10	10-light
line-md	Material Line Icons	1233	24	24	account	account-add
lineicons	Lineicons	962	24	24	500px	add-files
logos	SVG Logos	2063	512	190	100tb	500px
ls	Ligature Symbols	348	502	772	0	1
